x,y,z,x_sym,y_sym,z_sym
55939,86717,223464,54622,84911,225840
55939,86717,229464,55750,85883,230949
55939,86717,235464,56667,86440,235670
55939,86717,241464,57185,86166,240642
55939,92717,37464,58201,91445,39332
55939,92717,43464,57524,91429,45015
55939,92717,49464,56775,91447,50762
55939,92717,55464,56015,91514,56527
55939,92717,61464,55315,91623,62288
55939,92717,67464,54772,91746,68065
55939,92717,73464,54533,91832,73908
55939,92717,79464,54861,91805,79867
55939,92717,85464,55610,91674,85906
55939,92717,91464,56170,91555,91919
55939,92717,97464,56164,91539,97861
55939,92717,103464,55811,91600,103773
55939,92717,109464,55339,91687,109708
55939,92717,115464,54846,91795,115663
55939,92717,121464,54313,91904,121632
55939,92717,127464,53765,91975,127615
55939,92717,133464,53430,91985,133612
55939,92717,139464,53340,91935,139622
55939,92717,145464,53247,91899,145629
55939,92717,151464,52890,91941,151628
55939,92717,157464,52478,92036,157608
55939,92717,163464,52315,92105,163586
55939,92717,169464,52334,92158,169562
55939,92717,175464,52130,92257,175535
55939,92717,181464,51837,92366,181504
55939,92717,187464,51841,92413,187484
55939,92717,193464,52190,92407,193450
55939,92717,199464,53502,92247,199454
55939,92717,205464,54484,92057,205642
55939,92717,211464,54628,91762,212297
55939,92717,217464,54643,91368,219086
55939,92717,223464,55071,90976,225472
55939,92717,229464,55977,91280,230843
55939,92717,235464,56879,91639,235794
55939,92717,241464,57508,91586,240864
55939,98717,37464,58802,97097,39992
55939,98717,43464,58252,97073,45693
55939,98717,49464,57672,97080,51420
55939,98717,55464,57114,97130,57131
55939,98717,61464,56646,97220,62807
55939,98717,67464,56351,97321,68480
55939,98717,73464,56326,97389,74222
55939,98717,79464,56631,97393,80088
55939,98717,85464,57122,97344,86054
55939,98717,91464,57468,97296,92035
55939,98717,97464,57455,97300,97980
55939,98717,103464,57146,97359,103904
55939,98717,109464,56688,97443,109839
55939,98717,115464,56179,97533,115793
55939,98717,121464,55659,97609,121760
55939,98717,127464,55182,97650,127739
55939,98717,133464,54832,97647,133730
55939,98717,139464,54613,97610,139730
55939,98717,145464,54421,97578,145731
55939,98717,151464,54164,97588,151726
55939,98717,157464,53892,97637,157709
55939,98717,163464,53700,97704,163682
